step,x,y,dx,dy,theta,gimbal,thr,rew
0,-0.0015895569683740246,-260,0,0,-0.00017269971589396377,-26.294680098776638,0.8431215286254883,-0.4998149940369815
1,0.0001366480969762537,-260,0,0,1.4913103522697384e-05,25.885156058564057,0.9293417930603027,-0.49982268394570717
2,0.0013296973610857897,-260,0,0,0.0001445295973968219,25.41004932410473,0.6532152891159058,-0.4998223491281873
3,0.002738893241509512,-260,0,0,0.0002975822923414023,23.27258735608205,0.8376314043998718,-0.49982364544372854
4,0.002905769988137915,-260,0,0,0.00031565383981593554,5.20639168338138,0.43061888217926025,-0.49982126312300595
5,0.003550167332532806,-260,0,0,0.0003856263819568002,29.56047582574023,0.30668002367019653,-0.49982261326543803
6,0.005432049164987094,-260,0,0,0.0005899478489941787,29.66699582579459,0.8925394415855408,-0.49982624208111665
7,0.006475348138708637,-260,0,0,0.0007031173270522999,20.2196493284601,0.7079350352287292,-0.49982520459991353
8,0.008366807613037626,-260,0,0,0.0009083526230018123,28.56074946839028,0.928068995475769,-0.49982806064691937
9,0.009866009413152996,-260,0,0,0.0010709411563363052,26.634562474598184,0.7840429544448853,-0.49982819535259626
10,0.011171992544385053,-260,0,0,0.001212531280272081,26.78480948276287,0.6792056560516357,-0.4998286096684198
11,0.010074300415102194,-260,0,0,0.0010928508350618587,-19.060447663029333,0.7921922206878662,-0.49982312927656414
12,0.011070100669184627,-260,0,0,0.0012007205054933839,20.19133209547678,0.675527811050415,-0.4998279268283968
13,0.00965943021537467,-260,0,0,0.0010470374444325635,-23.788266531553464,0.8235176801681519,-0.4998222489458926
14,0.010639817051179105,-260,0,0,0.00115323376904617,19.201067626902706,0.6978871822357178,-0.4998276321764041
15,0.009113032300915596,-260,0,0,0.000987011117363697,-29.213629404301887,0.7360538244247437,-0.49982168169854013
16,0.009439677132038015,-259.99978643986213,0.016332241556120876,0.010678006894125062,0.0010220557457907631,4.4526950796127585,0.9755090475082397,-0.4998249502976902
17,0.01137505097423217,-260,0,0,0.0012315408947570626,27.515569243894895,0.8159549832344055,-0.4998304200739686
18,0.01260021019463205,-259.9999876416369,0.06125796101999402,0.0006179181545171112,0.001364122718021849,17.199979250410042,0.9688274264335632,-0.49982928677217675
19,0.013565055157436154,-260,0,0,0.0014678905816181717,-4.227773481422698,0.8445210456848145,-0.49982941940162784
20,0.014338721460566792,-260,0,0,0.001551532380889722,16.503868669659205,0.6361623406410217,-0.49982948669823374
21,0.013096756522652016,-260,0,0,0.0014161506166022182,-25.19271978953898,0.6871631741523743,-0.4998246939298759
22,0.013073071571452858,-260,0,0,0.001412998920326391,-0.4421136051676079,0.882430911064148,-0.4998271159675341
23,0.0112600898517548,-260,0,0,0.0012154764121346307,-26.977709180422593,0.9406318068504333,-0.49982242575495733
24,0.010029577977827442,-260,0,0,0.0010813096223273196,-18.913249047775917,0.8941525220870972,-0.4998228362158948
25,0.009484379393608642,-260,0,0,0.0010217335270450141,-10.66219157929368,0.6955575942993164,-0.49982387255882077
26,0.011076356663799598,-260,0,0,0.0011942991884589564,23.941572524951148,0.918518602848053,-0.49982912301824656
27,0.01224299290810825,-260,0,0,0.0013206811020608357,22.243602226640686,0.7211050987243652,-0.4998289876515831
28,0.012852214828578734,-260,0,0,0.0013865134908004144,13.6701766220987,0.6016330122947693,-0.4998282463640496
29,0.011831515000313835,-260,0,0,0.001275077096472206,-15.942596944528564,0.8761956095695496,-0.49982436068425423
30,0.012612022867691723,-260,0,0,0.0013594190806052158,13.22837497846476,0.7959680557250977,-0.49982844166349083
31,0.01107573729486839,-260,0,0,0.001191935533215536,-21.724475968661125,0.9771159887313843,-0.4998228661127987
32,0.013041128662560231,-260,0,0,0.0014049961477603627,28.265556763711086,0.9715103507041931,-0.49983107453453046
33,0.013755554148298026,-260,0,0,0.0014823133168228528,19.741749422099595,0.49424856901168823,-0.49982901064963464
34,0.014554047271235718,-260,0,0,0.001568759835336846,22.654386489269143,0.4846021234989166,-0.4998296683782362
35,0.015039280245444476,-259.9997972636263,0.024261648710437837,0.010136818685635183,0.001620774512765869,6.609385563875098,0.9757011532783508,-0.49982873320195054
36,0.016636968375903807,-260,0,0,0.0017930755591755569,18.636381372783447,0.8126555681228638,-0.49983294938069617
37,0.016716999495733652,-260,0,0,0.0018013077645965619,1.826411260259657,0.5576257109642029,-0.49982955766498677
38,0.017463508369093262,-260,0,0,0.0018817059555725673,11.568748438906885,0.8654525279998779,-0.49983134834259224
39,0.019065337237785862,-260,0,0,0.0020551475269347044,28.877904561133324,0.775248110294342,-0.4998340411466938
40,0.02039438470976483,-260,0,0,0.002198836274317692,22.645216910182143,0.8055611848831177,-0.49983431049406296
41,0.019131140160365056,-260,0,0,0.002060688270692411,-18.638064644620332,0.9330205917358398,-0.49982835134710046
